STEVAL-MKI196V1 (LSM6DSO)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-19 	 13 	 1017 	-1 	 0 	 88 	-0.1575 	 0.58625 	 -0.30625 	
-19 	 13 	 1018 	-1 	 0 	 88 	-0.21875 	 0.6475 	 -0.2625 	
-20 	 14 	 1018 	-1 	 0 	 88 	-0.18375 	 0.60375 	 -0.23625 	
-19 	 13 	 1015 	-1 	 0 	 88 	-0.18375 	 0.595 	 -0.1925 	
-18 	 13 	 1016 	-1 	 0 	 88 	-0.245 	 0.58625 	 -0.1225 	
-18 	 13 	 1017 	-1 	 0 	 88 	-0.2275 	 0.56875 	 -0.13125 	
-19 	 13 	 1017 	-1 	 0 	 88 	-0.20125 	 0.6125 	 -0.1225 	
-18 	 14 	 1016 	-1 	 0 	 88 	-0.27125 	 0.55125 	 -0.1225 	
-18 	 13 	 1017 	-1 	 0 	 88 	-0.28 	 0.595 	 -0.13125 	
-19 	 13 	 1017 	-1 	 0 	 88 	-0.28875 	 0.55125 	 -0.14 	
-19 	 13 	 1016 	-1 	 0 	 88 	-0.245 	 0.595 	 -0.175 	
-18 	 14 	 1016 	-1 	 0 	 88 	-0.245 	 0.595 	 -0.21875 	
-19 	 13 	 1018 	-1 	 0 	 88 	-0.245 	 0.55125 	 -0.23625 	
-18 	 13 	 1016 	-1 	 0 	 88 	-0.25375 	 0.595 	 -0.21875 	
-19 	 14 	 1017 	-1 	 0 	 88 	-0.2975 	 0.56 	 -0.21 	
-18 	 13 	 1017 	-1 	 0 	 88 	-0.315 	 0.55125 	 -0.1575 	
-19 	 13 	 1017 	-1 	 0 	 88 	-0.315 	 0.58625 	 -0.1925 	
-20 	 14 	 1017 	-1 	 0 	 88 	-0.2625 	 0.55125 	 -0.23625 	
-19 	 14 	 1016 	-1 	 0 	 88 	-0.30625 	 0.6125 	 -0.18375 	
-18 	 14 	 1018 	-1 	 0 	 88 	-0.27125 	 0.51625 	 -0.18375 	
-19 	 13 	 1017 	-1 	 0 	 88 	-0.3325 	 0.5425 	 -0.1575 	
-18 	 14 	 1018 	-1 	 0 	 88 	-0.32375 	 0.56875 	 -0.1925 	
-16 	 14 	 1016 	0 	 0 	 89 	-0.34125 	 0.7175 	 -0.1925 	
-19 	 13 	 1017 	-1 	 0 	 88 	-0.20125 	 1.28625 	 -0.25375 	
-21 	 13 	 1018 	-1 	 0 	 88 	-0.14 	 1.3125 	 -0.23625 	
-23 	 16 	 1018 	-1 	 0 	 88 	-0.27125 	 0.3675 	 -0.18375 	
-14 	 12 	 1016 	0 	 0 	 89 	-0.62125 	 -0.70875 	 -0.00875 	
-21 	 14 	 1018 	-1 	 0 	 88 	-0.20125 	 0.51625 	 -0.1575 	
-16 	 12 	 1016 	0 	 0 	 89 	-0.32375 	 0.42875 	 -0.14 	
-20 	 14 	 1016 	-1 	 0 	 88 	-0.1225 	 0.58625 	 -0.2275 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.20125 	 0.60375 	 -0.14 	
-18 	 14 	 1017 	-1 	 0 	 88 	-0.23625 	 0.5425 	 -0.16625 	
-18 	 13 	 1017 	-1 	 0 	 88 	-0.2625 	 0.595 	 -0.20125 	
-19 	 13 	 1018 	-1 	 0 	 88 	-0.175 	 0.62125 	 -0.28875 	
-19 	 13 	 1018 	-1 	 0 	 88 	-0.23625 	 0.55125 	 -0.2975 	
-19 	 14 	 1016 	-1 	 0 	 88 	-0.25375 	 0.63875 	 -0.27125 	
-19 	 13 	 1016 	-1 	 0 	 88 	-0.20125 	 0.5425 	 -0.32375 	
-19 	 13 	 1016 	-1 	 0 	 88 	-0.14875 	 0.63 	 -0.2975 	
-19 	 14 	 1017 	-1 	 0 	 88 	-0.1225 	 0.58625 	 -0.28875 	
-20 	 14 	 1016 	-1 	 0 	 88 	-0.175 	 0.63875 	 -0.2625 	
-18 	 13 	 1017 	-1 	 0 	 88 	-0.21875 	 0.58625 	 -0.25375 	
-20 	 14 	 1017 	-1 	 0 	 88 	-0.20125 	 0.56 	 -0.245 	
-20 	 14 	 1017 	-1 	 0 	 88 	-0.28875 	 0.6125 	 -0.23625 	
-19 	 13 	 1018 	-1 	 0 	 88 	-0.315 	 0.5425 	 -0.2275 	
-20 	 13 	 1018 	-1 	 0 	 88 	-0.1575 	 0.60375 	 -0.32375 	
-20 	 14 	 1018 	-1 	 0 	 88 	-0.175 	 0.56875 	 -0.315 	
-19 	 15 	 1017 	-1 	 0 	 88 	-0.2275 	 0.5775 	 -0.30625 	
-19 	 14 	 1016 	-1 	 0 	 88 	-0.23625 	 0.60375 	 -0.20125 	
-21 	 14 	 1017 	-1 	 0 	 88 	-0.175 	 0.58625 	 -0.09625 	
-18 	 13 	 1018 	-1 	 0 	 88 	-0.2625 	 0.63 	 0.07 	
-19 	 13 	 1017 	-1 	 0 	 88 	-0.25375 	 0.63 	 -0.00875 	
-20 	 15 	 1015 	-1 	 0 	 88 	-0.21 	 0.63 	 -0.0525 	
-19 	 14 	 1017 	-1 	 0 	 88 	-0.175 	 0.63875 	 0.06125 	
-19 	 15 	 1017 	-1 	 0 	 88 	-0.16625 	 0.6475 	 0.105 	
-17 	 13 	 1016 	0 	 0 	 89 	-0.175 	 0.665 	 0.1225 	
-18 	 13 	 1016 	-1 	 0 	 88 	-0.0525 	 0.65625 	 -0.14 	
-18 	 13 	 1017 	-1 	 0 	 88 	-0.0175 	 0.7175 	 -0.20125 	
-18 	 14 	 1017 	-1 	 0 	 88 	-0.00875 	 0.69125 	 -0.2275 	
-18 	 13 	 1017 	-1 	 0 	 88 	-0.00875 	 0.6825 	 -0.23625 	
-18 	 14 	 1017 	-1 	 0 	 88 	0.00875 	 0.7175 	 -0.25375 	
-19 	 14 	 1017 	-1 	 0 	 88 	0.04375 	 0.7 	 -0.315 	
-19 	 14 	 1017 	-1 	 0 	 88 	0.00875 	 0.74375 	 -0.32375 	
-20 	 15 	 1017 	-1 	 0 	 88 	0.04375 	 0.70875 	 -0.39375 	
-20 	 15 	 1016 	-1 	 0 	 88 	-0.035 	 0.67375 	 -0.34125 	
-20 	 14 	 1016 	-1 	 0 	 88 	-0.1225 	 0.63875 	 -0.30625 	
-20 	 15 	 1017 	-1 	 0 	 88 	-0.16625 	 0.63 	 -0.32375 	
-19 	 16 	 1017 	-1 	 0 	 88 	-0.2275 	 0.63875 	 -0.27125 	
-19 	 14 	 1017 	-1 	 0 	 88 	-0.21 	 0.62125 	 -0.20125 	
-19 	 15 	 1016 	-1 	 0 	 88 	-0.07 	 0.7 	 -0.21 	
