STEVAL-MKI196V1 (LSM6DSO)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	TEMP [C] 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.1225 	 0.48125 	 -0.2975 	23.6 	
-8 	 10 	 1017 	0 	 0 	 90 	-0.07 	 0.5075 	 -0.27125 	23.6 	
-18 	 14 	 1019 	-1 	 0 	 88 	0.0875 	 0.44625 	 -0.07875 	23.6 	
-16 	 18 	 1015 	0 	 1 	 88 	0.37625 	 0.3325 	 0.9275 	23.6 	
-5 	 11 	 1017 	0 	 0 	 90 	0.07875 	 0.48125 	 1.95125 	23.6 	
-5 	 12 	 1015 	0 	 0 	 90 	-0.07 	 0.5425 	 2.0125 	23.6 	
-6 	 12 	 1018 	0 	 0 	 90 	-0.105 	 0.53375 	 1.82875 	23.6 	
2 	 9 	 1017 	0 	 0 	 90 	-0.07875 	 0.53375 	 1.65375 	23.6 	
0 	 9 	 1017 	0 	 0 	 90 	-0.175 	 0.525 	 0.77875 	23.6 	
-3 	 12 	 1016 	0 	 0 	 90 	-0.23625 	 0.55125 	 0.0875 	23.6 	
-5 	 12 	 1017 	0 	 0 	 90 	-0.28875 	 0.56875 	 -0.11375 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.315 	 0.595 	 -0.14875 	23.6 	
-6 	 11 	 1018 	0 	 0 	 90 	-0.28875 	 0.56 	 -0.20125 	23.7 	
-7 	 11 	 1018 	0 	 0 	 90 	-0.2975 	 0.53375 	 -0.21 	23.7 	
-7 	 12 	 1016 	0 	 0 	 90 	-0.245 	 0.49 	 -0.2625 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.25375 	 0.5425 	 -0.21875 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.2625 	 0.53375 	 -0.2275 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.28875 	 0.5775 	 -0.1925 	23.6 	
-6 	 11 	 1017 	0 	 0 	 90 	-0.28 	 0.5425 	 -0.21 	23.6 	
-6 	 11 	 1018 	0 	 0 	 90 	-0.16625 	 0.53375 	 -0.23625 	23.6 	
-7 	 11 	 1016 	0 	 0 	 90 	-0.14 	 0.49875 	 -0.315 	23.6 	
-7 	 11 	 1017 	0 	 0 	 90 	-0.14 	 0.51625 	 -0.3325 	23.6 	
-7 	 12 	 1016 	0 	 0 	 90 	-0.175 	 0.58625 	 -0.3325 	23.7 	
-6 	 12 	 1016 	0 	 0 	 90 	-0.21875 	 0.56 	 -0.2975 	23.7 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.245 	 0.5425 	 -0.25375 	23.6 	
-7 	 11 	 1016 	0 	 0 	 90 	-0.245 	 0.51625 	 -0.25375 	23.6 	
-8 	 11 	 1017 	0 	 0 	 90 	-0.2275 	 0.525 	 -0.2975 	23.6 	
-7 	 11 	 1018 	0 	 0 	 90 	-0.21 	 0.56 	 -0.2975 	23.6 	
-7 	 11 	 1018 	0 	 0 	 90 	-0.1925 	 0.525 	 -0.315 	23.6 	
-6 	 12 	 1017 	0 	 0 	 90 	-0.13125 	 0.5075 	 -0.2975 	23.6 	
-7 	 12 	 1017 	0 	 0 	 90 	-0.13125 	 0.51625 	 -0.28875 	23.6 	
-7 	 11 	 1016 	0 	 0 	 90 	-0.245 	 0.5425 	 -0.2975 	23.6 	
-6 	 12 	 1016 	0 	 0 	 90 	-0.27125 	 0.56 	 -0.2975 	23.6 	
-7 	 13 	 1016 	0 	 0 	 90 	-0.3675 	 0.56 	 -0.28875 	23.6 	
-7 	 13 	 1016 	0 	 0 	 90 	-0.385 	 0.595 	 -0.1925 	23.6 	
-6 	 11 	 1017 	0 	 0 	 90 	-0.3675 	 0.595 	 -0.175 	23.6 	
