STEVAL-MKI196V1 (LSM6DSO)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-26 	 26 	 1019 	-1 	 1 	 88 	-0.2975 	 0.525 	 -0.21875 	
-26 	 26 	 1018 	-1 	 1 	 88 	-0.30625 	 0.56875 	 -0.16625 	
-26 	 27 	 1019 	-1 	 1 	 88 	-0.32375 	 0.55125 	 -0.1925 	
-25 	 27 	 1018 	-1 	 1 	 88 	-0.28875 	 0.53375 	 -0.20125 	
-25 	 26 	 1018 	-1 	 1 	 88 	-0.2975 	 0.56 	 -0.2275 	
-25 	 26 	 1018 	-1 	 1 	 88 	-0.2625 	 0.56 	 -0.21 	
-26 	 26 	 1019 	-1 	 1 	 88 	-0.2975 	 0.56875 	 -0.20125 	
-26 	 26 	 1018 	-1 	 1 	 88 	-0.2975 	 0.56875 	 -0.21 	
-25 	 26 	 1017 	-1 	 1 	 88 	-0.2975 	 0.55125 	 -0.2275 	
-25 	 27 	 1018 	-1 	 1 	 88 	-0.2975 	 0.55125 	 -0.1925 	
-26 	 26 	 1018 	-1 	 1 	 88 	-0.30625 	 0.53375 	 -0.21 	
-25 	 26 	 1018 	-1 	 1 	 88 	-0.27125 	 0.56875 	 -0.20125 	
-26 	 26 	 1017 	-1 	 1 	 88 	-0.2625 	 0.56875 	 -0.21875 	
-25 	 26 	 1018 	-1 	 1 	 88 	-0.28 	 0.55125 	 -0.21875 	
-26 	 26 	 1018 	-1 	 1 	 88 	-0.315 	 0.56875 	 -0.1925 	
-25 	 26 	 1018 	-1 	 1 	 88 	-0.28 	 0.55125 	 -0.21875 	
-26 	 26 	 1018 	-1 	 1 	 88 	-0.27125 	 0.5775 	 -0.23625 	
-25 	 26 	 1017 	-1 	 1 	 88 	-0.28 	 0.525 	 -0.245 	
-25 	 26 	 1018 	-1 	 1 	 88 	-0.28875 	 0.525 	 -0.21 	
-26 	 25 	 1018 	-1 	 1 	 88 	-0.28875 	 0.56875 	 -0.21 	
-26 	 26 	 1018 	-1 	 1 	 88 	-0.27125 	 0.55125 	 -0.21875 	
-26 	 26 	 1017 	-1 	 1 	 88 	-0.28875 	 0.5425 	 -0.21875 	
-26 	 26 	 1019 	-1 	 1 	 88 	-0.2625 	 0.53375 	 -0.20125 	
-25 	 26 	 1018 	-1 	 1 	 88 	-0.28 	 0.55125 	 -0.21875 	
-25 	 27 	 1018 	-1 	 1 	 88 	-0.2625 	 0.55125 	 -0.21 	
